@relation Universitas

@attribute Jurusan_SMA {IPA, IPS, LAIN}
@attribute Gender {PRIA, WANITA}
@attribute Asal_Sekolah {SURAKARTA, LUAR}
@attribute Rerata_SKS real
@attribute Asisten {YA, TIDAK}
@attribute Lama_Studi {TEPAT, TERLAMBAT}

@data
LAIN,WANITA,SURAKARTA,18,TIDAK,?
IPA,PRIA,SURAKARTA,19,YA,?
LAIN,PRIA,SURAKARTA,19,TIDAK,?
IPS,PRIA,LUAR,17, TIDAK,?
LAIN,WANITA,SURAKARTA,17,TIDAK,?
IPA,WANITA,LUAR,18,YA,?
IPA,PRIA,SURAKARTA,18,TIDAK,?
IPA,PRIA,SURAKARTA,19,TIDAK,?
IPS,PRIA,LUAR,18,TIDAK,?
LAIN,WANITA,SURAKARTA,18,TIDAK,?
